Time	Channel A
(s)	(V)

1.81600363	0.03746309
1.81733696	0.03746309
1.81867030	0.03746309
1.82000364	0.03746309
1.82133697	0.03746309
1.82267031	0.03746309
1.82400364	0.03746309
1.82533698	0.05622539
1.82667032	0.03746309
1.82800365	0.03746309
1.82933699	0.05622539
1.83067032	0.03746309
1.83200366	0.03746309
1.83333700	0.03746309
1.83467033	0.03746309
1.83600367	0.01870079
1.83733700	0.05622539
1.83867034	0.03746309
1.84000368	0.03746309
1.84133701	0.03746309
1.84267035	0.03746309
1.84400368	0.03746309
1.84533702	0.03746309
1.84667036	0.03746309
1.84800369	0.03746309
1.84933703	0.03746309
1.85067036	0.03746309
1.85200370	0.03746309
1.85333704	0.09368848
1.85467037	0.03746309
1.85600371	0.03746309
1.85733704	0.03746309
1.85867038	0.03746309
1.86000372	0.03746309
1.86133705	0.03746309
1.86267039	0.03746309
1.86400372	0.03746309
1.86533706	0.03746309
1.86667040	0.03746309
1.86800373	0.03746309
1.86933707	0.03746309
1.87067040	0.03746309
1.87200374	0.03746309
1.87333708	0.03746309
1.87467041	0.03746309
1.87600375	0.03746309
1.87733708	0.03746309
1.87867042	0.03746309
1.88000376	0.03746309
1.88133709	0.03746309
1.88267043	0.03746309
1.88400376	0.03746309
1.88533710	0.03746309
1.88667044	0.03746309
1.88800377	0.03746309
1.88933711	0.03746309
1.89067044	0.03746309
1.89200378	0.03746309
1.89333712	0.03746309
1.89467045	0.03746309
1.89600379	0.03746309
1.89733712	0.03746309
1.89867046	0.03746309
1.90000380	0.03746309
1.90133713	0.03746309
1.90267047	0.03746309
1.90400380	0.03746309
1.90533714	0.03746309
1.90667048	0.03746309
1.90800381	0.03746309
1.90933715	0.03746309
1.91067048	0.03746309
1.91200382	0.05622539
1.91333716	0.03746309
1.91467049	0.03746309
1.91600383	0.03746309
1.91733716	0.09368848
1.91867050	0.03746309
1.92000384	0.03746309
1.92133717	0.03746309
1.92267051	0.05622539
1.92400384	0.03746309
1.92533718	0.03746309
1.92667052	0.03746309
1.92800385	0.01870079
1.92933719	0.03746309
1.93067052	0.03746309
1.93200386	0.03746309
1.93333720	0.03746309
1.93467053	0.03746309
1.93600387	0.03746309
1.93733720	0.03746309
1.93867054	0.03746309
1.94000388	0.03746309
1.94133721	0.03746309
1.94267055	0.03746309
1.94400388	0.03746309
1.94533722	0.05622539
1.94667056	0.03746309
1.94800389	0.03746309
1.94933723	0.03746309
1.95067056	0.03746309
1.95200390	0.03746309
1.95333724	0.00000000
1.95467057	0.03746309
1.95600391	0.05622539
1.95733724	0.03746309
1.95867058	0.05622539
1.96000392	0.03746309
1.96133725	0.03746309
1.96267059	0.05622539
1.96400392	0.03746309
1.96533726	0.03746309
1.96667059	0.03746309
1.96800393	0.03746309
1.96933727	0.03746309
